,title,price,venue,category,month,day,time,location
0,Saigon Skydeck - Bitexco,Từ 130.000 VND,Ho Chi Minh,Vui chơi giải trí,Tháng 1,,,
1,CHÌA KHOÁ PHONG THUỶ - 3 CÔNG THỨC ÂM DƯƠNG,Miễn phí,Ho Chi Minh,Hội thảo,Tháng 1,08                                      Thứ 4,06:30 PM - 09:30 PM,"NARA COFFEE
305 PHAN ĐÌNH PHÙNG P15, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
2,Business analysis for Banking,Từ 3.900.000 VND,Ho Chi Minh,Hội thảo,Tháng 3,08                                      Chủ nhật,06:30 PM - 09:30 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
3,SCRUM FRAMEWORK IN PRACTICE,Từ 2.600.000 VND,Ho Chi Minh,Hội thảo,Tháng 3,07                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
4,Chuyên Gia Ứng Dụng Agile,Từ 7.700.000 VND,Ho Chi Minh,Hội thảo,Tháng 3,07                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
5,Khóa Học Power BI,Từ 9.900.000 VND,Ho Chi Minh,Hội thảo,Tháng 2,05                                      Thứ 4,06:30 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
6,Ước Lượng Phần Mềm,Từ 5.400.000 VND,Ho Chi Minh,Hội thảo,Tháng 3,07                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
7,Quản trị quy trình nghiệp vụ,Từ 9.100.000 VND,Ho Chi Minh,Hội thảo,Tháng 4,02                                      Thứ 5,06:30 PM - 09:30 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
8,BA và PM Phối Hợp Hoàn Thiện,Từ 8.900.000 VND,Ho Chi Minh,Hội thảo,Tháng 4,08                                      Thứ 4,06:30 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
9,"Hoạch định chiến lược, tư vấn triển khai ERP",Từ 20.100.000 VND,Ho Chi Minh,Hội thảo,Tháng 4,01                                      Thứ 4,06:30 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
